feature_idx,output_score,prob,rank,steering_scale,top_token_ids,top_tokens,prompt
98395,0.00809088612302861,0.008091327734291553,7,81.75,"[1431, 956, 63441, 76641, 387, 6458, 1601, 32613, 34259, 6723]","['’t', ""'t"", 'berra', 'opies', ' be', '/w', 'ister', 'alic', 'tered', 'va']","In my experience,"
68970,0.0038732449276990713,0.003873275127261877,1,196.5,"[73921, 62102, 43556, 22471, 77436, 42086, 54908, 88136, 29233, 71667]","[')frame', ')application', 'UpInside', '/***/', '#af', '>tag', ')did', '...\n\n\n\n\n\n', '-wsj', 'MMdd']","In my experience,"
82758,0.003289855659710962,0.0032902148086577654,14,210.0,"[41077, 86449, 91136, 17996, 115348, 75960, 44062, 46249, 122443, 34304]","['alars', 'odie', 'peon', 'ento', 'podob', 'templ', 'afil', '&apos', '.Α', 'iferay']","In my experience,"
30452,0.0032232316830041255,0.00322355842217803,13,100.5,"[3522, 76077, 27163, 104411, 111480, 43351, 4748, 30148, 79361, 115328]","['gether', 'elah', 'etheless', 'этому', 'ovit', 'stantiate', 'oe', 'ois', 'MUX', ' �']","In my experience,"
118990,0.0014657336549193016,0.0014663739129900932,56,21.9375,"[2082, 47200, 31643, 27452, 13890, 1889, 94332, 92160, 1010, 734]","[' code', '代码', '️', '例', ' equivalent', 'code', 'inne', 'Equivalent', 'ception', ' function']","In my experience,"
120219,0.0013446864272737002,0.0013450115220621228,31,13.96875,"[3770, 21883, 121159, 39314, 54277, 83850, 80407, 6247, 88852, 47200]","[' below', ' Below', 'コード', 'Below', 'below', '_below', 'sing', ' Code', '以下', '代码']","In my experience,"
39712,0.0010118379562639578,0.0010123036336153746,59,65.25,"[25350, 23204, 22575, 9428, 88585, 76072, 105830, 701, 89438, 6261]","['989', ' tabs', 'kee', ' fav', 'ompiler', 'Mahon', 'زه', ' your', ' BaseType', ' yourself']","In my experience,"
11532,0.0005862889322284508,0.0005864443955942988,34,19.59375,"[8741, 16296, 22850, 86614, 29774, 2515, 111880, 53410, 15727, 3621]","[' happens', ' consequences', ' wenn', 'ちは', ' consequence', ' effect', 'нд', 'mage', 'ToProps', ' happen']","In my experience,"
45796,0.0004720738365566143,0.0004727336054202169,179,55.5,"[1601, 84796, 3948, 81096, 24553, 9487, 61157, 113821, 1081, 1289]","['ister', 'uckles', 'ught', 'iglia', 'icular', 'isters', 'egie', 'ケット', ' comm', 'opy']","In my experience,"
89309,7.661098722992446e-05,7.688313780818135e-05,454,24.0,"[79691, 28376, 86795, 42999, 2502, 1152, 46409, 76581, 81605, 77398]","['üz', 'assen', 'ertil', 'lopen', 'ogle', 'olum', '_exports', 'ushman', ' {{\n', 'PosY']","In my experience,"
91148,5.498432854463039e-05,5.600347867584787e-05,2334,23.15625,"[108047, 35654, 78728, 77032, 79566, 125617, 20058, 59919, 46669, 7259]","['곡', 'soever', 'ombat', 'SUP', 'kus', ' Všech', 'plash', 'iston', 'ichever', 'undred']","In my experience,"
78920,5.0680341058444517e-05,5.1745460950769484e-05,2640,22.875,"[95489, 58404, 101068, 60320, 53493, 3916, 125441, 112644, 3466, 94620]","[' Hindered', 'stuff', 'lá', 'ubit', '=""?', 'ales', '어진', 'eru', 'ocus', '.deleteById']","In my experience,"
71797,4.548465102686465e-05,4.5680542825721204e-05,550,23.8125,"[26222, 1005, 10648, 62851, 53594, 116278, 23602, 52871, 5918, 54093]","[' handy', ' use', ' usage', ' misuse', 'pedo', 'kova', '�', ' Burger', ' built', 'astos']","In my experience,"
40101,3.868988135691697e-05,3.8873251469340175e-05,605,21.28125,"[11495, 13003, 24417, 49054, 21990, 75689, 7342, 53495, 54239, 30758]","[' famous', ' dates', ' oldest', '.did', '生', 'zcze', ' birth', ' Relief', '%c', ' earliest']","In my experience,"
92859,3.254944362000681e-05,3.292553446954116e-05,1465,33.75,"[10470, 33963, 20007, 97576, 1123, 88270, 114525, 87722, 112883, 70974]","['dy', 'ellt', 'Argb', 'agged', 'idth', 'setattr', 'raya', 'Stuff', 'бач', '.nano']","In my experience,"
44904,3.070178621728923e-05,3.0723105737706646e-05,89,23.71875,"[46431, 46249, 97282, 12515, 30848, 79946, 62904, 123601, 80394, 201]","['\xading', '&apos', '\xadi', '...\n', ' \u200b', ' ¶', ' �', '。本', 'afone', '\r']","In my experience,"
33235,2.2538686633203257e-05,2.2793356038164347e-05,1433,52.125,"[69760, 4696, 7185, 63885, 111173, 12684, 118682, 123550, 14345, 22375]","[' tangent', ' …', ' interesting', 'lei', 'ѕ', 'noon', ' Bilg', 'ilin', ' phen', '711']","In my experience,"
48201,1.893792331500748e-05,1.9521328795235604e-05,3833,16.21875,"[121569, 68482, 124211, 20092, 88722, 30807, 2159, 77535, 76743, 33743]","[' 다운받기', ' bitte', '给我', 'ISTER', 'ANTI', 'wiki', 'ond', '생', 'éra', '_AB']","In my experience,"
102953,1.0369446151415417e-05,1.1326574167469516e-05,10838,46.6875,"[52706, 89910, 125041, 118470, 67690, 111972, 99582, 57416, 66867, 25188]","['ylland', 'vero', 'ルク', ' konkrét', '%C', '�n', 'ILLA', 'luet', 'ouv', 'borg']","In my experience,"
93827,9.78464379817571e-06,1.0547126294113696e-05,9272,19.21875,"[5681, 17197, 79636, 7662, 29233, 66030, 96173, 14602, 6757, 63193]","['�', 'ToolStripMenuItem', 'brtc', '-lg', '-wsj', 'DataGridViewTextBoxColumn', ' utrecht', 'ittest', 'rial', ' iii']","In my experience,"
114050,8.49712114588892e-06,8.96591336640995e-06,6706,16.78125,"[73463, 62619, 5879, 97282, 91374, 63102, 124211, 97308, 89052, 16067]","[' \u200b\u200b', '\ufeff\n', '\xad', '\xadi', ' gezocht', ' nackte', '给我', 'erah', 'ью', '\u200b']","In my experience,"
28507,4.127697916126675e-06,4.6671311793033965e-06,14824,16.125,"[99715, 51426, 9195, 78049, 11042, 22750, 7041, 8462, 96405, 115464]","['yat', '/how', 'enum', 'essler', 'TF', '912', ' exactly', 'fx', 'acus', 'まる']","In my experience,"
107804,3.4356021385311656e-06,4.2772776396304835e-06,25238,19.875,"[3516, 58640, 44058, 89569, 1520, 15574, 48506, 2968, 10012, 62998]","['lem', ' FactoryGirl', 'stown', ' FactoryBot', ' help', '257', ' Lem', 'ability', 'igure', 'quoi']","In my experience,"
63851,2.916759013747132e-06,3.115147592325229e-06,8168,14.8125,"[5380, 87527, 111972, 82028, 25188, 1980, 1981, 28413, 46249, 74630]","['?\n', ')?\n', '�n', ' Uncategorized', 'borg', '?\n\n', '…', 'onders', '&apos', ')?\n\n']","In my experience,"
118242,2.7192912018370906e-06,3.689038749143947e-06,33715,24.375,"[1, 863, 25130, 58858, 36165, 52518, 46737, 78828, 31843, 92]","['""', '”', '[/', '\\)', '()""', '"":\n\n', ' *@', '""+""', ' ____', '}']","In my experience,"
118936,2.1676915262541154e-06,2.36025744015933e-06,10464,22.125,"[106514, 65886, 20582, 95666, 12328, 101021, 16926, 126374, 114829, 78246]","['ерб', 'reu', 'beit', ' Wilkinson', 'uv', 'انه', ' gonna', ' Gür', '인데', '//{{']","In my experience,"
76674,1.0817948474032694e-06,1.2733141829812666e-06,19291,21.09375,"[77731, 73639, 53733, 42455, 75669, 7088, 12448, 16926, 86561, 69745]","['grave', 'axter', 'ereg', '.fs', 'iceps', 'ipo', '509', ' gonna', ' Shall', '.echo']","In my experience,"
35743,1.0662118517739805e-06,1.3426945315586636e-06,26410,24.1875,"[72660, 45343, 29574, 81859, 41781, 62630, 64001, 22129, 68369, 102366]","['linger', 'mlink', 'acre', '.atom', 'okers', 'abyrinth', 'Budget', 'nest', 'moon', 'ậy']","In my experience,"
65756,9.138374841018412e-07,1.469325297875912e-06,48488,19.6875,"[59037, 82502, 99397, 61175, 4860, 58142, 68799, 24715, 17800, 35775]","['ertz', 'ubits', '問', 'bole', ' questions', 'enties', 'ISK', '��', 'questions', 'olist']","In my experience,"
4365,3.765295418902466e-07,5.630820965052408e-07,42492,14.8125,"[31041, 43615, 45418, 90207, 98358, 96006, 35034, 59899, 74346, 76442]","['�数', '.opens', ' Roose', 'actionDate', 'HeaderCode', 'ableViewController', 'еств', '-webpack', 'tabpanel', 'ApplicationBuilder']","In my experience,"
89264,3.572203526814974e-07,3.9680287500232225e-07,12794,33.375,"[72789, 6811, 71435, 60351, 111181, 104647, 98654, 114035, 91037, 83128]","['enso', ' difference', 'aea', 'difference', 'ovice', 'รร', 'iasi', '倉', ' IMessage', 'alom']","In my experience,"
841,3.047518632857419e-07,3.5478129234434164e-07,18086,20.53125,"[16437, 119768, 55397, 24547, 120797, 68636, 117270, 82614, 42319, 77922]","[' precision', 'арч', 'eco', ' pip', 'ویش', 'atrice', 'alim', ' Specialty', ' Synd', '.lucene']","In my experience,"
34814,1.9694779551105987e-07,4.0327824990527006e-07,65620,13.5,"[118470, 66338, 11951, 113012, 4726, 27575, 36507, 117967, 2485, 6823]","[' konkrét', '환', ' specifically', '\u202f', ' further', ' Footer', 'VERR', 'onavir', 'https', '�']","In my experience,"
63916,1.9051817950201382e-07,4.3488884671205597e-07,72069,19.125,"[3522, 22886, 20583, 17868, 11974, 17234, 43351, 41644, 34372, 65167]","['gether', 'bidden', 'theless', 'itionally', 'bsites', 'arLayout', 'stantiate', 'terior', 'tempts', 'nger']","In my experience,"
51482,5.475437845214028e-08,1.0042152354117206e-07,58325,20.53125,"[87085, 123680, 67858, 19098, 97865, 70974, 1468, 109229, 123947, 29668]","['.BorderFactory', '挙', '<X', ' Budd', 'InputLabel', '.nano', 'itt', 'ーブ', ' üye', 'erness']","In my experience,"
96221,3.2053861744071813e-08,4.202375691875204e-08,30428,23.25,"[43801, 105428, 28523, 90131, 108874, 127023, 78759, 94514, 68993, 12230]","['/vnd', 'unuz', 'ogue', 'reece', ' verdi', 'حداث', '.libs', 'locker', '.kr', 'ESSAGE']","In my experience,"
111275,3.258471301580592e-09,4.374369311221926e-09,32718,28.6875,"[41519, 109455, 82000, 31642, 58643, 101187, 49589, 57290, 70600, 89026]","['��', '��', '.scalablytyped', ' EXEMPLARY', ' jadx', '��', 'taboola', 'turnstile', ' STDCALL', ' TMPro']","In my experience,"
47226,1.8150726700913242e-09,2.835838230907939e-08,120047,18.28125,"[8, 705, 121026, 117432, 105698, 83296, 340, 105021, 7400, 70322]","[')', '),', '์)', 'Архів', ')،', '.AutoComplete', ')\n', '〈', ')]', '((_']","In my experience,"
5735,1.549710483026926e-09,1.0603908862094613e-08,109512,19.78125,"[23002, 126941, 126720, 84677, 63102, 76787, 97663, 63122, 27046, 38241]","[' erotische', ' bát', ' dán', ' meiden', ' nackte', ' treff', ' erotisch', ' geil', ' :)', ' aka']","In my experience,"
44823,4.651501996285747e-10,6.520033224433064e-08,127341,37.3125,"[10416, 90578, 117054, 126459, 107124, 46433, 38706, 1981, 66621, 21060]","[' […', '…\n', ' …\n', ' […]\n', 'орая', ' Â', '\tthrows', '…', ' ….', '….']","In my experience,"
