model_key,layer,feature_id,vocab_membership,enabled,feature_source,loader,sae_repo,sae_id,sae_file,hookpoint,module_path,mode
gemma9b,20,166,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,20,229,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,20,318,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,20,344,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,20,383,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,20,455,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,20,480,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,20,493,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,20,565,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,20,591,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,20,688,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,20,711,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,20,748,Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,20,771,C+Q,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_20/width_16k/average_l0_91,,blocks.20.hook_resid_post,model.layers.20,decoder_vector
gemma9b,31,52,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_31/width_16k/canonical,,blocks.31.hook_resid_post,model.layers.31,decoder_vector
gemma9b,31,93,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_31/width_16k/canonical,,blocks.31.hook_resid_post,model.layers.31,decoder_vector
gemma9b,31,124,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_31/width_16k/canonical,,blocks.31.hook_resid_post,model.layers.31,decoder_vector
gemma9b,31,130,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_31/width_16k/canonical,,blocks.31.hook_resid_post,model.layers.31,decoder_vector
gemma9b,31,158,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_31/width_16k/canonical,,blocks.31.hook_resid_post,model.layers.31,decoder_vector
gemma9b,31,294,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_31/width_16k/canonical,,blocks.31.hook_resid_post,model.layers.31,decoder_vector
gemma9b,31,308,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_31/width_16k/canonical,,blocks.31.hook_resid_post,model.layers.31,decoder_vector
gemma9b,31,467,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_31/width_16k/canonical,,blocks.31.hook_resid_post,model.layers.31,decoder_vector
gemma9b,31,540,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_31/width_16k/canonical,,blocks.31.hook_resid_post,model.layers.31,decoder_vector
gemma9b,31,550,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_31/width_16k/canonical,,blocks.31.hook_resid_post,model.layers.31,decoder_vector
gemma9b,31,631,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_31/width_16k/canonical,,blocks.31.hook_resid_post,model.layers.31,decoder_vector
gemma9b,31,720,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_31/width_16k/canonical,,blocks.31.hook_resid_post,model.layers.31,decoder_vector
gemma9b,31,778,C,true,ClarifyScore + positive OutputScore shortlist,saelens,gemma-scope-9b-it-res,layer_31/width_16k/canonical,,blocks.31.hook_resid_post,model.layers.31,decoder_vector
llama1b,10,353,C+Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.10,model.layers.10,additive
llama1b,10,4078,C,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.10,model.layers.10,additive
llama1b,10,4146,C,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.10,model.layers.10,additive
llama1b,10,5285,C+Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.10,model.layers.10,additive
llama1b,10,5981,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.10,model.layers.10,additive
llama1b,10,6573,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.10,model.layers.10,additive
llama1b,10,6662,C+Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.10,model.layers.10,additive
llama1b,11,83,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.11,model.layers.11,additive
llama1b,11,199,C,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.11,model.layers.11,additive
llama1b,11,472,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.11,model.layers.11,additive
llama1b,11,2192,C+Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.11,model.layers.11,additive
llama1b,11,3868,C,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.11,model.layers.11,additive
llama1b,11,4360,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.11,model.layers.11,additive
llama1b,11,5981,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.11,model.layers.11,additive
llama1b,11,6661,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.11,model.layers.11,additive
llama1b,12,1249,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.12,model.layers.12,additive
llama1b,12,1494,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.12,model.layers.12,additive
llama1b,12,3404,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.12,model.layers.12,additive
llama1b,12,3979,C,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.12,model.layers.12,additive
llama1b,12,4293,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.12,model.layers.12,additive
llama1b,12,5965,C+Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.12,model.layers.12,additive
llama1b,12,6230,C+Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.12,model.layers.12,additive
llama1b,12,6529,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.12,model.layers.12,additive
llama1b,13,1088,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.13,model.layers.13,additive
llama1b,13,1583,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.13,model.layers.13,additive
llama1b,13,2472,C+Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.13,model.layers.13,additive
llama1b,13,4506,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.13,model.layers.13,additive
llama1b,13,4535,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.13,model.layers.13,additive
llama1b,13,4930,Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.13,model.layers.13,additive
llama1b,13,5533,C,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.13,model.layers.13,additive
llama1b,13,5816,C+Q,true,ClarifyScore + positive OutputScore shortlist,sparsify,apart/llama3.2_1b_instruct_saes_vader,,,model.layers.13,model.layers.13,additive
llama8b,23,12013,C,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_23/trainer_1,model.layers.23,model.layers.23,additive
llama8b,23,16440,C+Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_23/trainer_1,model.layers.23,model.layers.23,additive
llama8b,23,52042,Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_23/trainer_1,model.layers.23,model.layers.23,additive
llama8b,23,60463,Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_23/trainer_1,model.layers.23,model.layers.23,additive
llama8b,23,63754,Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_23/trainer_1,model.layers.23,model.layers.23,additive
llama8b,23,73417,Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_23/trainer_1,model.layers.23,model.layers.23,additive
llama8b,23,75436,C,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_23/trainer_1,model.layers.23,model.layers.23,additive
llama8b,23,80944,Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_23/trainer_1,model.layers.23,model.layers.23,additive
llama8b,23,93739,Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_23/trainer_1,model.layers.23,model.layers.23,additive
llama8b,23,100933,C,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_23/trainer_1,model.layers.23,model.layers.23,additive
llama8b,23,124185,C+Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_23/trainer_1,model.layers.23,model.layers.23,additive
llama8b,27,8258,C+Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_27/trainer_1,model.layers.27,model.layers.27,additive
llama8b,27,21268,C+Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_27/trainer_1,model.layers.27,model.layers.27,additive
llama8b,27,46434,Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_27/trainer_1,model.layers.27,model.layers.27,additive
llama8b,27,55178,C,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_27/trainer_1,model.layers.27,model.layers.27,additive
llama8b,27,62124,Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_27/trainer_1,model.layers.27,model.layers.27,additive
llama8b,27,80944,Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_27/trainer_1,model.layers.27,model.layers.27,additive
llama8b,27,85233,Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_27/trainer_1,model.layers.27,model.layers.27,additive
llama8b,27,88643,C,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_27/trainer_1,model.layers.27,model.layers.27,additive
llama8b,27,88738,C,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_27/trainer_1,model.layers.27,model.layers.27,additive
llama8b,27,107311,C,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_27/trainer_1,model.layers.27,model.layers.27,additive
llama8b,27,114768,Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_27/trainer_1,model.layers.27,model.layers.27,additive
llama8b,27,116805,Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_27/trainer_1,model.layers.27,model.layers.27,additive
llama8b,27,121420,Q,true,ClarifyScore + positive OutputScore shortlist,dictionary_learning,andyrdt/saes-llama-3.1-8b-instruct,,resid_post_layer_27/trainer_1,model.layers.27,model.layers.27,additive
